ru	{'Частота': 8}
http	{'Частота': 6}
royallib	{'Частота': 6}
velikiy	{'Частота': 4}
andrey	{'Частота': 4}
html	{'Частота': 4}
banner	{'Частота': 4}
Photoshop	{'Частота': 4}
gif	{'Частота': 3}
next	{'Частота': 3}
htm	{'Частота': 3}
Royallib	{'Частота': 2}
author	{'Частота': 2}
eto	{'Частота': 2}
prosto	{'Частота': 2}
Banner	{'Частота': 2}
Maker	{'Частота': 2}
Pro	{'Частота': 2}
видет	{'Частота': 2}
Fire	{'Частота': 2}
гиперссылка	{'Частота': 2}
GIF	{'Частота': 2}
a	{'Частота': 2}
File	{'Частота': 2}
пикс	{'Частота': 2}
book	{'Частота': 1}
DeKnop	{'Частота': 1}
расспространение	{'Частота': 1}
неанимировать	{'Частота': 1}
bmp	{'Частота': 1}
png	{'Частота': 1}
jpeg	{'Частота': 1}
заданое	{'Частота': 1}
FLASH	{'Частота': 1}
flash	{'Частота': 1}
анмированный	{'Частота': 1}
кликать	{'Частота': 1}
href	{'Частота': 1}
img	{'Частота': 1}
src	{'Частота': 1}
c	{'Частота': 1}
страници	{'Частота': 1}
котроый	{'Частота': 1}
web	{'Частота': 1}
AdobePhotoshop	{'Частота': 1}
Adobe	{'Частота': 1}
New	{'Частота': 1}
width	{'Частота': 1}
height	{'Частота': 1}
OK	{'Частота': 1}
Edit	{'Частота': 1}
Fill	{'Частота': 1}
панель	{'Частота': 1}
Save	{'Частота': 1}
as	{'Частота': 1}
comment	{'Частота': 1}
